holder_name,holder_ticker,held_name,held_ticker,cusip,shares_held,market_value_usd,ownership_pct,report_date,position_type,filing_type,manager_name,contact_email
DE Shaw & Co,,Amazon.com Inc,AMZN,023135106,21730307,16552387196.27,1.5232,2024-12-31,New,13F-HR,Nancy White,nancy.white@deshaw&co.com
Millennium Management,MLNM,Tesla Inc,TSLA,88160R101,19001146,11674864023.40,0.2921,2025-03-31,Increased,13F-NT,Daniel Garcia,daniel.garcia@millennium.com
Capital Group,CGBL,Berkshire Hathaway,BRK.B,084670702,9857190,4729422284.87,0.8814,2025-12-31,Increased,13F-HR,Margaret Lopez,margaret.lopez@capitalgro.com
Vanguard Group,VGI,Intel Corp,INTC,458140100,40351019,25472582507.66,5.2946,2025-12-31,Decreased,13F-HR,Steven Johnson,steven.johnson@vanguardgr.com
JP Morgan Asset Mgmt,JPM,Netflix Inc,NFLX,64110L106,24089456,4623786582.30,0.3841,2024-03-31,Decreased,13F-NT,Mark Garcia,mark.garcia@jpmorganas.com
Point72 Asset Mgmt,PT72,JPMorgan Chase,JPM,46625H100,30938145,20051118859.03,0.4017,2024-03-31,Increased,13F-NT,Susan Anderson,susan.anderson@point72ass.com
Baupost Group,BPST,Johnson & Johnson,JNJ,478160104,18578554,4902020039.47,0.2403,2025-03-31,Decreased,13F-HR,Patricia Martinez,patricia.martinez@baupostgro.com
AQR Capital Management,AQRC,Johnson & Johnson,JNJ,478160104,16145986,3321745634.68,0.4593,2025-12-31,Unchanged,13F-HR,Thomas Lopez,thomas.lopez@aqrcapital.com
State Street Corp,STT,Meta Platforms,META,,27603563,11121830831.79,2.3914,2025-12-31,Decreased,13F-HR,Jennifer Anderson,jennifer.anderson@statestree.com
AQR Capital Management,AQRC,Pfizer Inc,PFE,717081103,18425709,6422558214.81,1.7838,2024-03-31,Decreased,13F-NT,Sarah Lopez,sarah.lopez@aqrcapital.com
T. Rowe Price,TROW,Procter & Gamble,PG,742718109,40068756,19711284762.88,0.7627,2026-11-17,Increased,13F-HR,Elizabeth Anderson,elizabeth.anderson@troweprice.com
Bridgewater Associates,BWTR,Exxon Mobil,XOM,30231G102,3174121,141310962.03,0.0697,2025-03-31,Increased,13F-HR,Patricia Martinez,patricia.martinez@bridgewate.com
Vanguard Group,VGI,JPMorgan Chase,JPM,46625H100,16539993,10174131301.13,0.2178,2024-06-30,Unchanged,13F-HR,Richard Martinez,richard.martinez@vanguardgr.com
Capital Group,CGBL,Microsoft Corp,MSFT,594918104,3412934,805652465.26,0.0434,2024-12-31,Increased,13F-HR,Richard Davis,richard.davis@capitalgro.com
Goldman Sachs AM,GS,Apple Inc,AAPL,037833100,4651459,864339271.42,0.0607,2025-03-31,Unchanged,13F-HR,James White,james.white@goldmansac.com
Bridgewater Associates,BWTR,Amazon.com Inc,AMZN,023135106,33859364,20921717356.97,1.7819,2024-06-30,Decreased,13F-HR,Steven Garcia,steven.garcia@bridgewate.com
Baupost Group,BPST,Home Depot,HD,437076102,36675345,20270272404.49,0.9713,2025-06-30,Unchanged,13F-HR,Michael Smith,michael.smith@baupostgro.com
Point72 Asset Mgmt,PT72,Adobe Inc,ADBE,00724F101,22732292,2928320785.15,0.5019,2024-09-30,Unchanged,13F-HR,Nancy Thompson,nancy.thompson@point72ass.com
AQR Capital Management,AQRC,Adobe Inc,ADBE,00724F101,46023269,10743346623.82,1.1763,2024-12-31,Unchanged,13F-NT,Elizabeth Johnson,elizabeth.johnson@aqrcapital.com
State Street Corp,STT,Intel Corp,INTC,458140100,34980696,13116354600.76,6.2769,2025-12-31,Decreased,13F-NT,Nancy Martin,nancy.martin@statestree.com
JP Morgan Asset Mgmt,JPM,Salesforce Inc,CRM,79466L302,25776386,8615164037.93,0.4512,2024-03-31,New,13F-NT,Michael Taylor,michael.taylor@jpmorganas.com
DE Shaw & Co,DSHW,Netflix Inc,NFLX,64110L106,23575073,12316190714.13,0.6209,2024-06-30,Unchanged,13F-HR,Dorothy Lopez,dorothy.lopez@deshaw&co.com
Bridgewater Associates,BWTR,Bank of America,BAC,060505104,12166751,9689786864.58,0.2377,2024-12-31,New,13F-HR,Susan Johnson,susan.johnson@bridgewate.com
Vanguard Group,VGI,NVIDIA Corp,NVDA,67066G104,23427679,2359417495.01,1.0833,2026-08-25,Unchanged,13F-NT,Mark Thompson,mark.thompson@vanguardgr.com
Renaissance Technologies,RNTC,Intel Corp,INTC,458140100,37436677,12060986377.06,0.8078,2024-03-31,Unchanged,13F-HR,Jennifer Martinez,jennifer.martinez@renaissanc.com
State Street Corp,STT,Adobe Inc,ADBE,00724F101,13175166,2548515142.80,0.1971,2024-09-30,Unchanged,13F-HR,Mark Williams,mark.williams@statestree.com
State Street Corp,STT,Home Depot,HD,437076102,39296859,14875630445.92,1.3490,2024-06-30,Increased,13F-NT,Patricia Lopez,patricia.lopez@statestree.com
Capital Group,CGBL,Apple Inc,AAPL,037833100,11333095,4068416746.97,0.2070,2025-03-31,Unchanged,13F-HR,James Williams,james.williams@capitalgro.com
Vanguard Group,VGI,Johnson & Johnson,JNJ,478160104,3061583,740202727.82,0.0979,2024-06-30,New,13F-HR,Margaret Miller,margaret.miller@vanguardgr.com
BlackRock Inc,BLK,Coca-Cola Co,KO,191216100,7281632,2367423626.92,0.3737,2025-06-30,Increased,13F-HR,Michael Rodriguez,michael.rodriguez@blackrocki.com
JP Morgan Asset Mgmt,JPM,Procter & Gamble,PG,742718109,38630055,16354260591.23,0.7924,2025-09-30,New,13F-HR,Patricia Anderson,patricia.anderson@jpmorganas.com
Point72 Asset Mgmt,PT72,Intel Corp,INTC,458140100,pending,1060260620.48,0.6625,2025-03-31,Increased,13F-HR,Michael Johnson,michael.johnson@point72ass.com
Goldman Sachs AM,GS,Chevron Corp,CVX,166764100,3289138,647373629.16,0.0774,2026-10-19,Unchanged,13F-HR,Richard Thomas,richard.thomas@goldmansac.com
Morgan Stanley IM,MS,Home Depot,HD,437076102,18983320,8874089804.63,1.1520,2024-06-30,Increased,13F-NT,Dorothy Martin,dorothy.martin@morganstan.com
DE Shaw & Co,DSHW,Berkshire Hathaway,BRK.B,084670702,19511119,15380041792.76,0.8345,2025-09-30,Increased,13F-HR,Michael Martin,michael.martin@deshaw&co.com
JP Morgan Asset Mgmt,JPM,Microsoft Corp,MSFT,594918104,15536844,6228685094.75,0.5559,2025-06-30,New,13F-NT,Lisa Miller,lisa.miller@jpmorganas.com
Bridgewater Associates,BWTR,Tesla Inc,TSLA,88160R101,28272270,20051400641.25,0.4174,2025-09-30,Unchanged,13F-HR,Steven Moore,steven.moore@bridgewate.com
Two Sigma Investments,TWSM,Coca-Cola Co,KO,191216100,1281129,502141528.65,0.0429,2024-09-30,Increased,13F-HR,Patricia Rodriguez,patricia.rodriguez@twosigmain.com
DE Shaw & Co,DSHW,Berkshire Hathaway,BRK.B,084670702,174193,24411179.93,0.0029,2024-03-31,Increased,13F-HR,Karen Brown,karen.brown@deshaw&co.com
BlackRock Inc,BLK,JPMorgan Chase,JPM,46625H100,4043917,976729545.76,0.1282,2024-09-30,Increased,13F-HR,Robert Moore,robert.moore@blackrocki.com
Capital Group,CGBL,Walt Disney Co,DIS,254687106,24400672,7950226861.24,0.3128,2025-03-31,Unchanged,13F-HR,William Anderson,william.anderson@capitalgro.com
DE Shaw & Co,DSHW,Salesforce Inc,CRM,79466L302,20667062,2196423660.12,1.0755,2024-09-30,Unchanged,13F-HR,Lisa Thomas,lisa.thomas@deshaw&co.com
Citadel Advisors,CDLC,Salesforce Inc,CRM,79466L302,11920310,7299207410.78,0.1932,2024-03-31,Increased,13F-HR,Mark Johnson,mark.johnson@citadeladv.com
DE Shaw & Co,DSHW,Adobe Inc,ADBE,00724F101,18651705,5181896913.26,0.2437,2025-09-30,Decreased,13F-HR,Nancy Thomas,nancy.thomas@deshaw&co.com
BlackRock Inc,BLK,Microsoft Corp,MSFT,594918104,23738901,2870821481.60,0.4024,2024-03-31,Unchanged,13F-HR,David Johnson,david.johnson@blackrocki.com
Goldman Sachs AM,GS,Alphabet Inc,GOOGL,02079K305,8958235,5779001735.88,0.1169,2025-12-31,Decreased,13F-HR,Margaret Lopez,margaret.lopez@goldmansac.com
Capital Group,CGBL,Chevron Corp,CVX,166764100,14095856,7016479142.40,0.3670,2025-03-31,Unchanged,13F-NT,Elizabeth Jackson,elizabeth.jackson@capitalgro.com
DE Shaw & Co,DSHW,Alphabet Inc,GOOGL,02079K305,1716168,628603027.65,0.0215,2025-09-30,New,13F-HR,Jennifer Thomas,jennifer.thomas@deshaw&co.com
Fidelity Investments,FNF,Chevron Corp,CVX,166764100,22408436,3925790856.74,0.2919,2024-03-31,Unchanged,13F-HR,Jennifer Lopez,jennifer.lopez@fidelityin.com
DE Shaw & Co,DSHW,NVIDIA Corp,NVDA,67066G104,29779576,10658716819.81,0.5105,2025-03-31,Unchanged,13F-HR,Margaret Smith,margaret.smith@deshaw&co.com
Goldman Sachs AM,GS,JPMorgan Chase,JPM,46625H100,4737104,757424404.09,0.1712,2025-06-30,Decreased,13F-HR,Dorothy Rodriguez,dorothy.rodriguez@goldmansac.com
Bridgewater Associates,BWTR,Visa Inc,V,92826C839,20228600,8631810993.70,0.3545,2025-12-31,New,13F-HR,Richard Thompson,richard.thompson@bridgewate.com
Point72 Asset Mgmt,PT72,Adobe Inc,ADBE,00724F101,37480584,9323006294.18,0.4894,2026-11-05,Decreased,13F-HR,Karen Martin,karen.martin@point72ass.com
Morgan Stanley IM,MS,JPMorgan Chase,JPM,46625H100,8506376,1612708748.23,0.1449,2025-06-30,New,13F-HR,Patricia Williams,patricia.williams@morganstan.com
Baupost Group,BPST,JPMorgan Chase,JPM,46625H100,2266631,631757425.13,0.0527,2025-12-31,Decreased,13F-NT,Karen Thomas,karen.thomas@baupostgro.com
Morgan Stanley IM,MS,Salesforce Inc,CRM,79466L302,39797436,6417549202.83,0.5789,2024-06-30,Unchanged,13F-HR,Mark Martinez,mark.martinez@morganstan.com
Vanguard Group,VGI,UnitedHealth Group,UNH,91324P102,18016772,11248971990.57,1.4121,2024-12-31,Increased,13F-HR,James Taylor,james.taylor@vanguardgr.com
AQR Capital Management,AQRC,Intel Corp,INTC,458140100,8298126,1595262678.70,0.3548,2025-06-30,Increased,13F-HR,James Lopez,james.lopez@aqrcapital.com
Vanguard Group,VGI,NVIDIA Corp,NVDA,67066G104,47061310,21975298667.72,2.3375,2025-06-30,Increased,13F-HR,Margaret Thompson,margaret.thompson@vanguardgr.com
JP Morgan Asset Mgmt,JPM,JPMorgan Chase,JPM,46625H100,23887021,1447568187.48,0.3597,2025-06-30,Unchanged,13F-NT,Margaret Garcia,margaret.garcia@jpmorganas.com
AQR Capital Management,AQRC,Visa Inc,V,92826C839,34410922,19905226357.01,2.1205,2025-09-30,New,13F-NT,David Thompson,david.thompson@aqrcapital.com
Baupost Group,BPST,JPMorgan Chase,JPM,46625H100,8030659,3200801047.53,0.1623,2025-09-30,Increased,13F-HR,Thomas Williams,thomas.williams@baupostgro.com
Citadel Advisors,CDLC,JPMorgan Chase,JPM,46625H100,29606883,21784340382.09,0.8350,2025-09-30,Decreased,13F-HR,Elizabeth Martin,elizabeth.martin@citadeladv.com
State Street Corp,STT,Pfizer Inc,PFE,717081103,28669082,14188294089.94,1.5419,2025-03-31,Unchanged,13F-HR,Nancy White,nancy.white@statestree.com
Fidelity Investments,FNF,Amazon.com Inc,AMZN,023135106,25240143,13427448412.56,0.3493,2024-09-30,Increased,13F-HR,Sarah Brown,sarah.brown@fidelityin.com
Wellington Management,WMGI,Salesforce Inc,CRM,79466L302,45037645,27175872963.79,1.7341,2024-06-30,Increased,13F-HR,Daniel Lopez,daniel.lopez@wellington.com
Two Sigma Investments,TWSM,Bank of America,BAC,060505104,5830873,1939639509.11,0.6410,2025-06-30,Decreased,13F-HR,Richard Martin,richard.martin@twosigmain.com
State Street Corp,STT,Exxon Mobil,XOM,30231G102,9385721,341388555.77,0.1643,2024-09-30,Increased,13F-HR,Michael Jackson,michael.jackson@statestree.com
Citadel Advisors,CDLC,Intel Corp,INTC,458140100,10161205,4607357306.87,0.1350,2025-12-31,Increased,13F-HR,Steven Johnson,steven.johnson@citadeladv.com
Baupost Group,BPST,NVIDIA Corp,NVDA,67066G104,2487581,736818777.75,0.0603,2024-09-30,Unchanged,13F-HR,Jennifer Taylor,jennifer.taylor@baupostgro.com
BlackRock Inc,BLK,Meta Platforms,META,30303M102,35315002,3836849927.24,4.5687,2025-09-30,Unchanged,13F-NT,Steven Taylor,steven.taylor@blackrocki.com
Renaissance Technologies,,Johnson & Johnson,JNJ,478160104,4631220,2288972632.83,0.1110,2024-06-30,Decreased,13F-HR,Jennifer Hernandez,jennifer.hernandez@renaissanc.com
Bridgewater Associates,BWTR,Walt Disney Co,DIS,254687106,42330515,30892093289.80,0.6430,2024-06-30,New,13F-NT,,
Bridgewater Associates,BWTR,Procter & Gamble,PG,742718109,16695033,1784548592.37,2.7228,2025-12-31,Unchanged,13F-NT,Sarah Smith,sarah.smith@bridgewate.com
Capital Group,CGBL,Microsoft Corp,MSFT,594918104,20598061,11408442420.57,0.5212,2025-09-30,New,13F-HR,James Hernandez,james.hernandez@capitalgro.com
Goldman Sachs AM,GS,Amazon.com Inc,AMZN,023135106,251604,15073456.94,0.0168,2025-03-31,New,13F-HR,Daniel Davis,daniel.davis@goldmansac.com
Renaissance Technologies,RNTC,Netflix Inc,NFLX,64110L106,13290585,10420268962.00,2.3669,2024-03-31,Increased,13F-HR,Robert Davis,robert.davis@renaissanc.com
AQR Capital Management,AQRC,Walt Disney Co,DIS,254687106,298599,195741813.94,0.0078,2024-12-31,Unchanged,13F-HR,James Jones,james.jones@aqrcapital.com
Millennium Management,MLNM,Microsoft Corp,MSFT,594918104,19402794,5647619663.43,0.4740,2024-09-30,Unchanged,13F-HR,Michael Brown,michael.brown@millennium.com
JP Morgan Asset Mgmt,JPM,Exxon Mobil,XOM,30231G102,38683423,23840489698.72,0.5608,2024-09-30,Unchanged,13F-HR,Michael Jones,michael.jones@jpmorganas.com
T. Rowe Price,TROW,Exxon Mobil,XOM,30231G102,25144236,5765359666.77,0.4507,2025-06-30,Unchanged,13F-NT,Nancy Thomas,nancy.thomas@troweprice.com
Two Sigma Investments,TWSM,Walt Disney Co,DIS,254687106,28223134,20990217051.73,1.8669,2024-03-31,Increased,13F-HR,Steven Jones,steven.jones@twosigmain.com
Fidelity Investments,FNF,NVIDIA Corp,NVDA,67066G104,40517408,26879161497.96,1.6991,2025-12-31,Increased,13F-HR,Sarah White,sarah.white@fidelityin.com
T. Rowe Price,TROW,Procter & Gamble,PG,742718109,31604899,14186385937.80,0.4872,2024-06-30,Increased,13F-HR,Jennifer Martin,jennifer.martin@troweprice.com
Morgan Stanley IM,MS,Alphabet Inc,GOOGL,02079K305,21306129,16557802204.55,0.4437,not_a_date,Increased,13F-HR,Jennifer Jackson,jennifer.jackson@morganstan.com
Millennium Management,MLNM,Coca-Cola Co,KO,191216100,22455640,16504890749.00,0.3225,2024-03-31,Unchanged,13F-HR,James Martin,james.martin@millennium.com
Goldman Sachs AM,GS,Pfizer Inc,PFE,717081103,26608240,12744551763.18,1.1874,2025-12-31,Increased,13F-NT,Lisa Martinez,lisa.martinez@goldmansac.com
State Street Corp,STT,NVIDIA Corp,NVDA,67066G104,5028207,2196575103.31,0.0862,2025-03-31,Unchanged,13F-HR,Nancy Lopez,nancy.lopez@statestree.com
Wellington Management,WMGI,Meta Platforms,META,30303M102,12624963,3475718037.25,0.7759,2024-03-31,Increased,13F-HR,David Smith,david.smith@wellington.com
Morgan Stanley IM,MS,Alphabet Inc,GOOGL,02079K305,44052181,29721954531.91,3.6861,2025-12-31,New,13F-HR,Thomas Hernandez,thomas.hernandez@morganstan.com
Baupost Group,BPST,Apple Inc,AAPL,037833100,26114749,9418536725.40,0.5049,2025-06-30,Unchanged,13F-HR,Jennifer Moore,jennifer.moore@baupostgro.com
Point72 Asset Mgmt,PT72,Berkshire Hathaway,BRK.B,084670702,2633330,1366434851.78,0.0440,2025-03-31,New,13F-HR,Richard Rodriguez,richard.rodriguez@point72ass.com
Goldman Sachs AM,GS,Johnson & Johnson,JNJ,478160104,36767648,26303292685.84,0.9708,2024-06-30,Unchanged,13F-HR,Robert Miller,robert.miller@goldmansac.com
DE Shaw & Co,DSHW,Amazon.com Inc,AMZN,023135106,pending,17450367921.96,0.7377,2024-09-30,Unchanged,13F-HR,Thomas Rodriguez,thomas.rodriguez@deshaw&co.com
Morgan Stanley IM,MS,Bank of America,BAC,060505104,11527197,5378191702.99,0.1843,2025-09-30,Unchanged,13F-HR,Karen Lopez,karen.lopez@morganstan.com
Morgan Stanley IM,MS,Microsoft Corp,MSFT,,7046239,4529742816.20,0.0985,2025-06-30,Increased,13F-HR,Steven Smith,steven.smith@morganstan.com
Fidelity Investments,FNF,Amazon.com Inc,AMZN,023135106,6025500,3173674096.57,0.0810,2024-06-30,Unchanged,13F-NT,Mark Brown,mark.brown@fidelityin.com
Baupost Group,BPST,Visa Inc,V,92826C839,34104361,3010730292.52,1.7333,2025-03-31,Increased,13F-HR,Daniel Lopez,daniel.lopez@baupostgro.com
Citadel Advisors,CDLC,Amazon.com Inc,AMZN,023135106,3770669,859232869.08,0.1725,2024-09-30,Increased,13F-HR,Margaret Martin,margaret.martin@citadeladv.com
Fidelity Investments,FNF,JPMorgan Chase,JPM,46625H100,29729225,6875735339.13,0.4238,2024-06-30,Decreased,13F-NT,David Davis,david.davis@fidelityin.com
JP Morgan Asset Mgmt,JPM,Bank of America,BAC,060505104,9028769,6341670635.36,0.9972,2025-12-31,Unchanged,13F-HR,James Miller,james.miller@jpmorganas.com
Morgan Stanley IM,MS,Intel Corp,INTC,458140100,19140682,792642096.34,2.6836,2024-06-30,Increased,13F-HR,Susan Miller,susan.miller@morganstan.com
Capital Group,CGBL,JPMorgan Chase,JPM,46625H100,15558037,11080011868.11,0.8797,2024-06-30,Increased,13F-HR,Robert Davis,robert.davis@capitalgro.com
Appaloosa Management,APLS,Berkshire Hathaway,BRK.B,084670702,19832844,10783050158.18,1.5467,2025-09-30,Unchanged,13F-HR,Jennifer Moore,jennifer.moore@appaloosam.com
Morgan Stanley IM,MS,Intel Corp,INTC,458140100,9196642,677085199.29,0.3038,2024-03-31,New,13F-HR,David Martin,david.martin@morganstan.com
BlackRock Inc,BLK,JPMorgan Chase,JPM,46625H100,246771,85467459.45,0.0110,2024-06-30,Unchanged,13F-HR,Steven Garcia,steven.garcia@blackrocki.com
Two Sigma Investments,TWSM,Procter & Gamble,PG,742718109,12793550,3456509180.02,0.1742,2025-06-30,Increased,13F-HR,James Martinez,james.martinez@twosigmain.com
Renaissance Technologies,RNTC,Tesla Inc,TSLA,88160R101,27085066,6729214263.77,0.5019,2024-12-31,Decreased,13F-HR,Sarah Martinez,sarah.martinez@renaissanc.com
Vanguard Group,VGI,Exxon Mobil,XOM,30231G102,39271552,13751410960.36,0.5144,2024-09-30,New,13F-HR,Thomas Hernandez,thomas.hernandez@vanguardgr.com
T. Rowe Price,TROW,Visa Inc,V,92826C839,11991712,2073010812.72,0.2160,2024-12-31,New,13F-HR,Patricia Brown,patricia.brown@troweprice.com
Goldman Sachs AM,,Berkshire Hathaway,BRK.B,084670702,18777308,14786350219.45,0.5402,2024-09-30,Unchanged,13F-HR,Karen Miller,karen.miller@goldmansac.com
BlackRock Inc,BLK,UnitedHealth Group,UNH,91324P102,47134463,15810505650.60,0.9853,2025-09-30,Increased,13F-HR,Mark Smith,mark.smith@blackrocki.com
Citadel Advisors,CDLC,Adobe Inc,ADBE,00724F101,4049365,3071323433.26,0.0564,2025-12-31,Increased,13F-HR,Patricia Garcia,patricia.garcia@citadeladv.com
DE Shaw & Co,DSHW,Pfizer Inc,PFE,717081103,12023787,4994499976.11,0.2568,2025-03-31,Unchanged,13F-HR,Thomas Moore,thomas.moore@deshaw&co.com
Capital Group,CGBL,Coca-Cola Co,KO,191216100,21829674,13497338753.93,0.6359,2025-03-31,New,13F-NT,Michael Thomas,michael.thomas@capitalgro.com
T. Rowe Price,TROW,UnitedHealth Group,UNH,91324P102,5111181,2904851255.90,0.5502,2025-12-31,Increased,13F-HR,Thomas Davis,thomas.davis@troweprice.com
Wellington Management,WMGI,Amazon.com Inc,AMZN,023135106,11668837,5926606862.65,0.2963,2025-03-31,Increased,13F-NT,William Taylor,william.taylor@wellington.com
Point72 Asset Mgmt,PT72,Intel Corp,INTC,458140100,47438136,20513216740.46,1.1189,2027-04-15,Unchanged,13F-HR,David Thompson,david.thompson@point72ass.com
AQR Capital Management,AQRC,UnitedHealth Group,UNH,91324P102,35110687,26209282726.91,1.5562,2024-03-31,Unchanged,13F-HR,Michael Smith,michael.smith@aqrcapital.com
T. Rowe Price,TROW,NVIDIA Corp,NVDA,67066G104,45801047,19398203801.75,4.7853,2025-09-30,Increased,13F-HR,Michael Taylor,michael.taylor@troweprice.com
Capital Group,CGBL,Bank of America,BAC,060505104,10190460,1526603564.11,0.1318,2025-12-31,Unchanged,13F-HR,Jennifer Martinez,jennifer.martinez@capitalgro.com
AQR Capital Management,AQRC,Procter & Gamble,PG,742718109,29010096,17050933101.67,0.6050,2025-09-30,Unchanged,13F-NT,William Williams,william.williams@aqrcapital.com
Two Sigma Investments,TWSM,Visa Inc,V,92826C839,15881335,7297516029.90,0.2762,2024-12-31,Increased,13F-NT,Daniel Davis,daniel.davis@twosigmain.com
JP Morgan Asset Mgmt,JPM,Alphabet Inc,GOOGL,02079K305,4979548,1855346194.40,0.0742,2024-09-30,Increased,13F-HR,Michael Anderson,michael.anderson@jpmorganas.com
Wellington Management,WMGI,Chevron Corp,CVX,166764100,48010511,4430891867.08,0.9688,2025-06-30,New,13F-NT,Robert Jones,robert.jones@wellington.com
JP Morgan Asset Mgmt,JPM,Home Depot,HD,437076102,26234865,14720111666.50,2.7279,2024-03-31,Increased,13F-HR,Thomas Johnson,thomas.johnson@jpmorganas.com
Bridgewater Associates,BWTR,Meta Platforms,META,30303M102,38917320,19101929139.04,6.4045,00-00-0000,Unchanged,13F-HR,Nancy Rodriguez,nancy.rodriguez@bridgewate.com
Renaissance Technologies,RNTC,NVIDIA Corp,NVDA,67066G104,12745433,1542083978.59,1.0399,2025-12-31,New,13F-HR,Richard Hernandez,richard.hernandez@renaissanc.com
DE Shaw & Co,DSHW,Home Depot,HD,437076102,14476588,8814152426.36,1.4640,2025-03-31,Decreased,13F-NT,Mark Brown,mark.brown@deshaw&co.com
Baupost Group,BPST,Apple Inc,AAPL,037833100,24448484,14240965829.17,0.3057,2025-03-31,Unchanged,13F-NT,Nancy Thomas,nancy.thomas@baupostgro.com
Appaloosa Management,APLS,Exxon Mobil,XOM,30231G102,35119687,3984214347.29,2.1869,2024-03-31,Unchanged,13F-HR,Dorothy Jackson,dorothy.jackson@appaloosam.com
Bridgewater Associates,BWTR,Intel Corp,INTC,458140100,39998877,6255720348.39,2.4155,2024-03-31,Increased,13F-HR,Steven Garcia,steven.garcia@bridgewate.com
Renaissance Technologies,RNTC,Exxon Mobil,XOM,30231G102,30872711,22875702294.69,0.5579,2024-09-30,Unchanged,13F-HR,Sarah Garcia,sarah.garcia@renaissanc.com
T. Rowe Price,TROW,Apple Inc,AAPL,037833100,4239922,2372230740.78,0.1965,2024-03-31,New,13F-HR,Mark Thomas,mark.thomas@troweprice.com
Bridgewater Associates,BWTR,Visa Inc,V,92826C839,19457481,5749489508.17,0.2605,2024-12-31,Unchanged,13F-HR,William Taylor,william.taylor@bridgewate.com
T. Rowe Price,TROW,Tesla Inc,TSLA,88160R101,13008620,10227589416.27,-0.1904,2025-09-30,New,13F-HR,Richard Anderson,richard.anderson@troweprice.com
DE Shaw & Co,DSHW,Netflix Inc,NFLX,64110L106,4924050,3141659830.76,0.0960,00-00-0000,Unchanged,13F-HR,Thomas Moore,thomas.moore@deshaw&co.com
Bridgewater Associates,BWTR,Visa Inc,V,92826C839,6121995,2757417287.03,0.2009,2025-06-30,Unchanged,13F-HR,Thomas Garcia,thomas.garcia@bridgewate.com
Renaissance Technologies,RNTC,Chevron Corp,CVX,166764100,35307891,18463456427.13,2.1051,2025-09-30,Decreased,13F-HR,Elizabeth Brown,elizabeth.brown@renaissanc.com
Morgan Stanley IM,MS,Bank of America,BAC,060505104,573250,402568034.74,0.0191,2024-06-30,Decreased,13F-HR,William Garcia,william.garcia@morganstan.com
BlackRock Inc,BLK,Exxon Mobil,XOM,30231G102,27685173,3522755370.12,0.8628,2024-03-31,New,13F-HR,Michael Jones,michael.jones@blackrocki.com
Citadel Advisors,CDLC,Amazon.com Inc,AMZN,023135106,18698292,10130784475.27,0.3272,2024-12-31,Unchanged,13F-HR,Richard White,richard.white@citadeladv.com
Baupost Group,BPST,Walt Disney Co,DIS,254687106,31096432,4551691276.22,1.3497,2024-03-31,New,13F-HR,Dorothy Rodriguez,dorothy.rodriguez@baupostgro.com
Goldman Sachs AM,GS,Meta Platforms,META,30303M102,31466254,1392192966.79,1.0773,2025-03-31,Decreased,13F-HR,Daniel Jones,daniel.jones@goldmansac.com
JP Morgan Asset Mgmt,JPM,Home Depot,HD,437076102,30371384,11497092310.36,0.4120,2025-09-30,Unchanged,13F-HR,Daniel Hernandez,daniel.hernandez@jpmorganas.com
Bridgewater Associates,BWTR,Coca-Cola Co,KO,191216100,45842017,12806872479.13,0.6496,2025-03-31,Unchanged,13F-HR,Robert Martin,robert.martin@bridgewate.com
Capital Group,CGBL,Visa Inc,V,92826C839,12081456,1707477417.87,0.3933,2024-06-30,Unchanged,13F-HR,Susan Anderson,susan.anderson@capitalgro.com
Point72 Asset Mgmt,PT72,Cisco Systems,CSCO,17275R102,26746299,2599749448.81,2.2260,2024-03-31,Unchanged,13F-HR,Jennifer Rodriguez,jennifer.rodriguez@point72ass.com
Fidelity Investments,FNF,Johnson & Johnson,JNJ,478160104,19093275,13057418318.50,0.2709,2025-03-31,Unchanged,13F-NT,Daniel Thomas,daniel.thomas@fidelityin.com
State Street Corp,STT,Netflix Inc,NFLX,64110L106,29075332,18883591993.50,1.9018,2024-06-30,Increased,13F-HR,Lisa Johnson,lisa.johnson@statestree.com
Wellington Management,WMGI,Intel Corp,INTC,458140100,22520390,12921817585.74,0.3818,2024-06-30,Decreased,13F-HR,Richard Taylor,richard.taylor@wellington.com
BlackRock Inc,BLK,Meta Platforms,META,30303M102,44104413,4415373636.89,0.6248,2025-12-31,Unchanged,13F-HR,Margaret Miller,margaret.miller@blackrocki.com
T. Rowe Price,TROW,Microsoft Corp,MSFT,594918104,32927458,22495746575.49,2.3830,2025-09-30,Unchanged,13F-HR,Lisa Williams,lisa.williams@troweprice.com
Appaloosa Management,APLS,Exxon Mobil,XOM,30231G102,28755788,16019924929.00,0.4588,2025-03-31,Increased,13F-HR,,
Morgan Stanley IM,MS,Chevron Corp,CVX,166764100,29468906,906123421.48,1.2103,2024-03-31,Increased,13F-NT,David Martinez,david.martinez@morganstan.com
T. Rowe Price,TROW,Visa Inc,V,92826C839,40139903,11045355752.02,0.6259,2024-09-30,New,13F-HR,Michael Brown,michael.brown@troweprice.com
Capital Group,CGBL,Pfizer Inc,PFE,717081103,29391504,3121065028.91,0.5379,2024-03-31,Increased,13F-HR,Steven White,steven.white@capitalgro.com
Morgan Stanley IM,MS,Tesla Inc,TSLA,88160R101,22759280,11846546712.17,0.4028,2025-12-31,Unchanged,13F-HR,David Anderson,david.anderson@morganstan.com
Capital Group,CGBL,Procter & Gamble,PG,742718109,38088897,12085022208.35,0.9971,00-00-0000,Unchanged,13F-HR,Susan Anderson,susan.anderson@capitalgro.com
