buyer_name,buyer_ticker,supplier_name,supplier_ticker,relationship_type,supply_concentration_pct,product_category,effective_date,contract_value_usd,supplier_address,contact_email
Microsoft Corp,MSFT,Palo Alto Networks,PANW,Service Provider,16.99,Network Security,2022-04-30,1593899.27,"77685 Rogers Square Suite 442, South Tristan, AK 11829",mark.lambert@paloaltonetw.com
Goldman Sachs,GS,FactSet Research,FDS,Service Provider,11.54,Financial Analytics,2024-02-26,6624304.18,"74071 Padilla Vista Apt. 798, West Jeanetteshire, TX 48493",gina.green@factsetresea.com
FactSet Research,FDS,DHL Express,DHL.DE,Logistics Partner,15.06,International Shipping,2025-06-19,495057.75,,matthew.price@dhlexpress.com
Meta Platforms Inc,META,FedEx Corp,FDX,Logistics Partner,5.67,Freight,2022-01-06,4513270.56,,craig.osborne@fedexcorp.com
Intel Corp,INTC,UPS Inc,UPS,Logistics Partner,18.8,Supply Chain,2023-06-23,6549658.41,"Unit 7676 Box 6608, DPO AE 71323",suzanne.moore@upsinc.com
Lockheed Martin,LMT,Leidos Holdings,LDOS,Service Provider,10.81,Engineering,2025-09-22,4061572.19,"28638 Susan Brook, Adamberg, VT 17705",jessica.price@leidosholdin.com
Meta Platforms Inc,META,Deloitte,DLT,Service Provider,8.27,Audit,2022-08-03,1338549.7,"Unit 9801 Box 3376, DPO AE 80650",elizabeth.mcpherson@deloitte.com
Nike Inc,NKE,Iron Mountain,IRM,Service Provider,6.73,Records Management,2024-08-29,9896963.92,"77170 Antonio Loop Suite 094, East Jonfurt, AL 43749",ashlee.smith@ironmountain.com
NVIDIA Corp,NVDA,Deloitte,DLT,Service Provider,11.76,Consulting,2022-04-11,6910230.98,,
PepsiCo Inc,PEP,UPS Inc,UPS,Logistics Partner,14.52,Supply Chain,2023-11-28,631212.48,,
PepsiCo Inc,PEP,FedEx Corp,FDX,Logistics Partner,3.26,Freight,2024-10-15,7465127.7,"7029 Claudia Port Suite 604, Fritzfurt, PW 70964",julie.moreno@fedexcorp.com
Salesforce Inc,CRM,Deloitte,DLT,Service Provider,15.31,Audit,2025-06-07,122648.39,,
Adobe Inc,ADBE,ServiceNow Inc,NOW,Service Provider,9.7,IT Service Management,2022-10-05,3081347.06,"2924 Vincent Shoals, Matthewchester, NE 90385",robert.gonzales@servicenowin.com
Meta Platforms Inc,META,,,Service Provider,11.09,Consulting,2024-11-17,467538.13,"Unit 0040 Box 2342, DPO AE 25108",pamela.contreras@accentureplc.com
Amazon.com Inc,AMZN,UPS Inc,UPS,Logistics Partner,11.82,Supply Chain,2025-03-28,179829.8,"8719 Heidi Rest, Port Williambury, IN 68943",nicole.arias@upsinc.com
Apple Inc,AAPL,Workday Inc,WDAY,Service Provider,TBD,HR Software,2025-09-11,420855.08,,heather.vega@workdayinc.com
Oracle Corp,ORCL,DHL Express,DHL.DE,Logistics Partner,3.96,International Shipping,2023-04-20,7311628.45,"4160 James Falls Apt. 700, Christianton, HI 69585",glenn.roth@dhlexpress.com
Lockheed Martin,LMT,Workday Inc,WDAY,Service Provider,9.71,Finance,2025-04-12,9285257.13,,
Qualcomm Inc,QCOM,ASML Holding,ASML,Direct Supplier,10.66,EUV Lithography Equipment,2023-11-25,8018494.65,"70159 Wolfe Rest Apt. 945, Howardfort, MN 65997",bryan.cooper@asmlholding.com
FactSet Research,FDS,Workday Inc,WDAY,Service Provider,3.7,HR Software,2025-09-22,7317732.39,,daniel.garcia@workdayinc.com
Intel Corp,INTC,Iron Mountain,IRM,Service Provider,7.09,Data Storage,2024-04-15,1513419.92,,
Broadcom Inc,AVGO,Samsung Electronics,005930.KS,Contract Manufacturer,9.95,Memory Chips,2022-03-08,1378158.84,"58240 Powers Island Suite 651, North Richard, AK 87253",steven.nelson@samsungelect.com
NVIDIA Corp,NVDA,Soylent Corp,SOYL,Contract Manufacturer,14.37,IC Packaging,2025-10-04,2706429.33,"11656 Owens Stream Apt. 106, Laurenville, IA 25613",barbara.sanchez@amkortechnol.com
Caterpillar Inc,CAT,SAP SE,SAP,Service Provider,,ERP,2025-01-19,1832457.86,,eric.kidd@sapse.com
Broadcom Inc,AVGO,ASML Holding,ASML,Direct Supplier,15.86,EUV Lithography Equipment,2024-02-02,7504373.68,"92223 Rebecca Throughway, North Brian, NM 78419",peter.hester@asmlholding.com
Nike Inc,NKE,ServiceNow Inc,NOW,Service Provider,18.93,IT Service Management,2023-06-10,9555406.18,"75056 William Harbor Apt. 072, Jonesfurt, ID 27439",michael.spears@servicenowin.com
Adobe Inc,ADBE,FedEx Corp,FDX,Logistics Partner,6.79,Express Delivery,2024-04-13,4487523.44,"073 Hernandez Forks Apt. 977, Mitchellchester, NH 48024",caroline.farmer@fedexcorp.com
Netflix Inc,NFLX,ServiceNow Inc,NOW,Service Provider,7.7,IT Service Management,2023-05-25,2802493.14,"7353 Davis Villages Suite 391, Lake Jaybury, WA 92280",dennis.hughes@servicenowin.com
Merck & Co,MRK,FedEx Corp,FDX,Logistics Partner,7.46,Freight,2022-03-01,5733540.99,"22133 Kelly Fords, Gregoryport, LA 97113",kendra.brown@fedexcorp.com
Walt Disney Co,DIS,DHL Express,DHL.DE,Logistics Partner,3.33,International Shipping,2023-07-06,7538952.92,,alejandro.garcia@dhlexpress.com
Procter & Gamble,PG,SAP SE,SAP,Service Provider,18.85,ERP,2024-04-28,8872692.9,,
Home Depot,HD,IBM Corp,IBM,Service Provider,6.47,Cloud,2022-05-23,5281985.24,"4783 Sandra Crest, North Renee, GA 48447",diana.ortega@ibmcorp.com
Tesla Inc,TSLA,CATL,300750.SZ,Direct Supplier,31.07,Lithium-Ion Batteries,2023-06-19,1826749.77,"29014 Stanley Oval, Perryborough, WV 67655",kimberly.bradley@catl.com
Nike Inc,NKE,Iron Mountain,IRM,Service Provider,271.01,Data Storage,2025-04-08,6406757.65,,
General Motors,GM,Continental AG,CON.DE,Direct Supplier,19.08,Brake Systems,2024-09-19,1408520.41,"USNS Richardson, FPO AP 90440",david.schmidt@continentala.com
Netflix Inc,NFLX,UPS Inc,UPS,Logistics Partner,3.5,Supply Chain,2024-03-05,7562432.71,,tracy.rivera@upsinc.com
Coca-Cola Co,KO,Weyland-Yutani,WLND,Service Provider,9.54,IT Service Management,2025-12-19,8822332.4,"00444 Maxwell Vista Suite 305, Kempfort, MN 57360",rose.garza@servicenowin.com
Home Depot,HD,DHL Express,DHL.DE,Logistics Partner,8.64,International Shipping,2022-10-08,9354981.06,"137 Lowe Fords, Austinton, MP 45248",kathy.jimenez@dhlexpress.com
Costco Wholesale,COST,IBM Corp,IBM,Service Provider,17.01,IT Infrastructure,2022-04-16,1832543.62,,cynthia.mendoza@ibmcorp.com
Caterpillar Inc,CAT,Deloitte,DLT,Service Provider,9.72,Audit,2025-03-19,4508580.93,"7277 Amanda Extension Suite 460, Lake Tommystad, CO 27705",thomas.grant@deloitte.com
Lockheed Martin,LMT,Northrop Grumman,NOC,Tier 2 Supplier,7.78,Autonomous Systems,2023-05-09,5348235.57,"PSC 5312, Box 2526, APO AA 77369",debra.johnson@northropgrum.com
Amazon.com Inc,AMZN,,,Service Provider,16.62,IT Service Management,2025-12-21,630085.24,"179 Floyd Knolls Apt. 526, New Sierra, VA 02890",matthew.mason@servicenowin.com
FactSet Research,FDS,IBM Corp,IBM,Service Provider,2.2,Cloud,2023-07-15,1455306.19,"78931 Franklin Drives Suite 284, Suzanneport, VI 07502",zachary.fletcher@ibmcorp.com
Procter & Gamble,PG,DHL Express,DHL.DE,Logistics Partner,7.64,International Shipping,2023-03-08,6948530.11,"PSC 7025, Box 4496, APO AA 43340",sean.rodriguez@dhlexpress.com
Caterpillar Inc,CAT,Iron Mountain,IRM,Service Provider,11.97,Data Storage,2023-07-05,6296737.57,"02932 Anna Vista Apt. 118, Michaelside, GA 55951",heather.smith@ironmountain.com
AMD Inc,AMD,Accenture plc,ACN,Service Provider,6.43,Consulting,2024-07-29,5395527.18,"0848 Freeman Creek Suite 249, Mariafurt, IA 34068",kelly.miller@accentureplc.com
FactSet Research,FDS,UPS Inc,UPS,Logistics Partner,11.74,Supply Chain,2025-06-16,1905391.19,"PSC 4056, Box 8459, APO AE 91466",kristina.rogers@upsinc.com
Home Depot,HD,Accenture plc,ACN,Service Provider,8.63,IT Services,2023-09-04,7314626.9,,
Ford Motor Co,F,Magna International,MGA,Contract Manufacturer,5.07,Body Assemblies,2022-04-15,5179933.91,"25750 Jones Estates, Longbury, UT 49450",jamie.bartlett@magnainterna.com
Qualcomm Inc,QCOM,Deloitte,DLT,Service Provider,12.15,Audit,2022-02-26,2450338.6,,thomas.mason@deloitte.com
Costco Wholesale,COST,Workday Inc,WDAY,Service Provider,3.66,Finance,2024-10-01,6966259.87,"25853 Lester Manor, Amandaland, MI 28031",tara.sellers@workdayinc.com
General Motors,GM,Denso Corp,6902.T,Tier 2 Supplier,11.93,HVAC Systems,2023-02-09,7551810.91,,
Merck & Co,MRK,IQVIA Holdings,IQV,Service Provider,18.79,Clinical Trials,2023-07-31,9452515.46,,
Salesforce Inc,CRM,Accenture plc,ACN,Service Provider,14.27,IT Services,2022-06-20,6841749.91,"800 Wood Trail Suite 751, North William, WV 29778",christopher.flores@accentureplc.com
General Motors,GM,Workday Inc,WDAY,Service Provider,pending,Finance,2024-07-18,8636975.72,,christopher.lopez@workdayinc.com
PepsiCo Inc,PEP,Deloitte,DLT,Service Provider,6.8,Consulting,2025-09-20,9612259.36,,
Chevron Corp,CVX,Baker Hughes,BKR,Direct Supplier,low,Turbomachinery,2025-12-20,5922022.53,"2116 Tonya Bypass, Gatesmouth, PA 12145",heather.cox@bakerhughes.com
Coca-Cola Co,KO,Globex Industries,GLBX,Logistics Partner,150.99,International Shipping,2023-10-17,3496344.83,"31896 Lopez Village, East Cindytown, MH 32598",brittney.thompson@dhlexpress.com
AMD Inc,AMD,ServiceNow Inc,NOW,Service Provider,15.75,IT Service Management,2024-04-14,6757346.01,"3420 Kerry Squares Apt. 242, Grahamfort, KY 20017",cory.avila@servicenowin.com
Netflix Inc,NFLX,DHL Express,DHL.DE,Logistics Partner,4.97,International Shipping,2025-06-09,5960150.07,"242 Heather Loop, Jeffreybury, UT 22346",tara.mitchell@dhlexpress.com
Chevron Corp,CVX,DHL Express,DHL.DE,Logistics Partner,7.42,International Shipping,2025-09-24,4018886.45,"Unit 5878 Box 9891, DPO AA 96012",kayla.martin@dhlexpress.com
Eli Lilly,LLY,Avantor Inc,AVTR,Direct Supplier,,Biopharma Materials,2025-02-02,2780787.78,"454 Lang Glens Suite 739, New Matthew, UT 24083",connor.schmidt@avantorinc.com
Salesforce Inc,CRM,,,Service Provider,8.08,Data Center Colocation,2024-03-31,1324682.92,,judy.wilson@equinixinc.com
Netflix Inc,NFLX,DHL Express,DHL.DE,Logistics Partner,6.89,International Shipping,2022-09-10,6733903.81,"636 Jones Falls, Port Robert, NV 18281",emily.mendoza@dhlexpress.com
Amazon.com Inc,AMZN,UPS Inc,UPS,Logistics Partner,12.94,Supply Chain,2024-10-23,7682744.51,"29390 Gordon Stravenue, Kevinbury, LA 93333",kimberly.morales@upsinc.com
Costco Wholesale,COST,Workday Inc,WDAY,Service Provider,18.58,Finance,2022-07-22,7909580.24,,cynthia.grant@workdayinc.com
Home Depot,HD,Workday Inc,WDAY,Service Provider,17.01,HR Software,2023-12-09,9889540.84,"USNV Sutton, FPO AA 27069",jacob.russo@workdayinc.com
General Motors,GM,Robert Bosch,BOSCH.DE,Direct Supplier,2.05,Fuel Injection,2024-06-15,7604929.39,,
Tesla Inc,TSLA,DHL Express,DHL.DE,Logistics Partner,7.98,International Shipping,2023-07-18,3942332.74,"89964 Pham Route, West Sarah, ME 30935",randall.burgess@dhlexpress.com
Eli Lilly,LLY,DHL Express,DHL.DE,Logistics Partner,16.76,International Shipping,2025-01-13,1759372.59,,jessica.king@dhlexpress.com
Procter & Gamble,PG,FedEx Corp,FDX,Logistics Partner,6.41,Express Delivery,2024-02-11,2931771.79,,
Intel Corp,INTC,SK Hynix,000660.KS,Direct Supplier,8.46,NAND Flash,2023-03-27,7956054.16,"6630 Patrick Fort, Espinozahaven, MO 44118",laura.fischer@skhynix.com
Apple Inc,AAPL,Accenture plc,ACN,Service Provider,14.01,Consulting,2022-05-29,3237763.23,"726 Hampton Shoal, Lake Jose, AZ 41443",brian.martin@accentureplc.com
Merck & Co,MRK,SAP SE,SAP,Service Provider,,Business Software,2022-11-21,5698017.3,"586 Coleman Bridge, Lewisport, TX 61843",teresa.hamilton@sapse.com
Texas Instruments,TXN,Accenture plc,ACN,Service Provider,17.76,IT Services,2024-01-24,7413055.47,"17171 Stewart Streets, Brandonville, PA 87778",brian.dunn@accentureplc.com
Walt Disney Co,DIS,Deloitte,DLT,Service Provider,18.84,Audit,2024-05-09,4894136.38,"USNS Price, FPO AA 38257",christopher.ruiz@deloitte.com
Cisco Systems,CSCO,FedEx Corp,FDX,Logistics Partner,5.75,Express Delivery,2025-11-17,6503335.48,"4902 Williams Way Suite 480, South Joshuaton, IA 59711",jeffery.jones@fedexcorp.com
Meta Platforms Inc,META,,,Service Provider,16.99,ERP,2024-12-02,2343832.47,"45971 Cox Springs Suite 932, Owensville, DE 89799",brian.hicks@sapse.com
Meta Platforms Inc,META,ServiceNow Inc,NOW,Service Provider,4.47,IT Service Management,2024-03-31,4032489.75,"376 Mccarthy Track Apt. 625, South Kerri, MH 37619",adam.moore@servicenowin.com
Lockheed Martin,LMT,L3Harris Technologies,LHX,Direct Supplier,6.92,Electronic Warfare,2023-06-04,3804948.75,,
Meta Platforms Inc,META,ServiceNow Inc,NOW,Service Provider,2.79,IT Service Management,2023-04-12,2268089.29,"49368 Chelsea Shoals Suite 024, Sandrastad, AL 24278",diane.walker@servicenowin.com
AMD Inc,AMD,Applied Materials,AMAT,Direct Supplier,14.11,Deposition Equipment,2024-05-27,6632137.34,"549 Gregory Walks, Wilcoxhaven, MD 11869",jessica.wong@appliedmater.com
AMD Inc,AMD,Micron Technology,MU,Direct Supplier,18.87,NAND Storage,2025-12-06,7509910.38,"98471 Greene Mall, New Christopherberg, WI 84570",stacy.hicks@microntechno.com
FactSet Research,FDS,IBM Corp,IBM,Service Provider,8.94,IT Infrastructure,2022-04-01,448583.86,"3236 Miller Keys, South Randyton, OH 60678",hayley.clayton@ibmcorp.com
Broadcom Inc,AVGO,,,Service Provider,11.55,Cloud,2025-05-01,4469185.81,"58019 Lambert Wall Suite 570, South Travis, OH 50494",kevin.grant@ibmcorp.com
General Electric,GE,SAP SE,SAP,Service Provider,7.81,ERP,2023-05-05,6494019.97,"Unit 3222 Box 8019, DPO AA 33761",jose.thomas@sapse.com
Lockheed Martin,LMT,Acme Widget Corp,ACME,Logistics Partner,8.25,Supply Chain,2025-01-21,2151599.94,"1771 Isabel Ranch Apt. 880, Murrayside, FL 13201",heidi.hill@upsinc.com
Chevron Corp,CVX,Accenture plc,ACN,Service Provider,2.54,Consulting,2023-01-31,8152421.83,"079 Butler Garden, North Brandonberg, NM 48289",robert.sullivan@accentureplc.com
Intel Corp,INTC,Micron Technology,MU,Direct Supplier,3.01,DRAM Modules,2023-10-25,1777534.5,"PSC 9214, Box 9679, APO AE 33550",jennifer.howard@microntechno.com
Goldman Sachs,GS,FIS Global,FIS,Service Provider,9.2,Core Banking Platform,2025-04-23,3972969.82,"54472 Martinez Court, Stewartton, VI 25830",angela.davis@fisglobal.com
Procter & Gamble,PG,Umbrella Corp,UMBR,Logistics Partner,14.91,Express Delivery,2022-01-22,9914276.54,,
Procter & Gamble,PG,Workday Inc,WDAY,Service Provider,6.38,Finance,2025-02-25,6079952.3,"5870 Sanchez Trail Suite 983, Kevinchester, PA 91007",zachary.allen@workdayinc.com
Adobe Inc,ADBE,CrowdStrike,CRWD,Service Provider,2.14,Endpoint Security,2025-01-22,3139518.56,,
Alphabet Inc,GOOGL,FedEx Corp,FDX,Logistics Partner,5.9,Express Delivery,2023-07-20,2632430.99,"30299 James Forges Apt. 923, Melissafurt, MI 35200",christine.harrington@fedexcorp.com
Salesforce Inc,CRM,Cloudflare Inc,NET,Service Provider,13.07,Security,2025-04-28,3002358.98,"1741 Sutton Orchard, Gatesfurt, FM 25233",carolyn.parker@cloudflarein.com
Goldman Sachs,GS,UPS Inc,UPS,Logistics Partner,2.63,Shipping,2023-11-16,8614703.06,,thomas.benson@upsinc.com
Home Depot,HD,Globex Industries,GLBX,Logistics Partner,16.48,International Shipping,2024-12-18,7494735.94,,
Apple Inc,AAPL,Qualcomm Inc,QCOM,Direct Supplier,5.66,Modem Chips,2025-12-16,8397228.54,"1212 Donna Cove Suite 948, Jeremytown, AL 92225",kenneth.anderson@qualcomminc.com
Caterpillar Inc,CAT,Workday Inc,WDAY,Service Provider,3.53,Finance,2023-11-01,7465548.5,"9109 Julia Orchard Suite 865, East Kelli, ND 01085",steven.chandler@workdayinc.com
Boeing Co,BA,IBM Corp,IBM,Service Provider,8.94,Cloud,2023-04-27,7952862.19,"4390 Petersen Place, Timothyfort, ID 80963",rebecca.williams@ibmcorp.com
Coca-Cola Co,KO,DHL Express,DHL.DE,Logistics Partner,3.29,International Shipping,2024-12-25,1838446.84,"149 Johnson Streets Suite 504, East Madison, WI 57716",todd.andrews@dhlexpress.com
Broadcom Inc,AVGO,Amkor Technology,AMKR,Contract Manufacturer,4.76,Test Services,2024-10-15,3952707.38,"Unit 2660 Box 3669, DPO AP 04579",stacey.peters@amkortechnol.com
Qualcomm Inc,QCOM,Sumco Corp,3436.T,Direct Supplier,18.56,Silicon Wafers,2025-07-29,8755214.23,,jerry.manning@sumcocorp.com
Texas Instruments,TXN,Entegris Inc,ENTG,Direct Supplier,12.96,Specialty Chemicals,2023-06-05,8329110.7,,
Lockheed Martin,LMT,Accenture plc,ACN,Service Provider,19.38,IT Services,2024-06-26,9280073.6,,
Chevron Corp,CVX,Workday Inc,WDAY,Service Provider,9.73,Finance,2023-04-24,4550853.7,,
Johnson & Johnson,JNJ,West Pharmaceutical,WST,Direct Supplier,10.7,Delivery Systems,2022-03-04,2261343.11,,michael.bradley@westpharmace.com
AMD Inc,AMD,ASE Technology,ASX,Contract Manufacturer,7.79,Semiconductor Packaging,2024-04-29,3857014.46,,
Johnson & Johnson,JNJ,Catalent Inc,CTLT,Contract Manufacturer,23.46,Fill/Finish,2022-04-28,796659.59,"55699 Marilyn Fields, Marthafort, PW 62694",kyle.hunter@catalentinc.com
Salesforce Inc,CRM,Microsoft Azure,MSFT,Service Provider,,Cloud Platform,2023-10-24,8620818.27,"3228 Cabrera Valleys, Livingstontown, ME 93455",michael.silva@microsoftazu.com
General Electric,GE,ServiceNow Inc,NOW,Service Provider,17.66,IT Service Management,2022-07-25,8252788.61,"USS Simmons, FPO AP 90974",jennifer.mcdonald@servicenowin.com
Cisco Systems,CSCO,SAP SE,SAP,Service Provider,11.83,ERP,2023-01-02,5606313.63,"09505 Perry Villages Apt. 571, Port Cody, NC 74086",dawn.gonzalez@sapse.com
Cisco Systems,CSCO,DHL Express,DHL.DE,Logistics Partner,-23.71,International Shipping,2023-07-27,4845844.32,,
Caterpillar Inc,CAT,DHL Express,DHL.DE,Logistics Partner,9.79,International Shipping,2022-12-25,1222763.68,,
Oracle Corp,ORCL,Akamai Technologies,AKAM,Service Provider,3.9,CDN,2025-10-05,9496338.65,"257 Christensen Expressway Suite 033, East Jessica, OR 66644",stephen.meyer@akamaitechno.com
General Motors,GM,Iron Mountain,IRM,Service Provider,7.8,Records Management,2023-01-14,648971.34,"398 Clark Ports, Lake Benjaminburgh, AK 36733",dean.bass@ironmountain.com
General Motors,GM,Lear Corp,LEA,Direct Supplier,11.48,Seating,2022-07-04,2570637.9,,
Texas Instruments,TXN,Workday Inc,WDAY,Service Provider,8.17,HR Software,2024-05-27,2827166.85,"512 Gibson Tunnel, Prestonfurt, OK 39011",lisa.owens@workdayinc.com
Costco Wholesale,COST,Iron Mountain,IRM,Service Provider,12.6,Data Storage,2022-12-03,4428989.24,"Unit 7225 Box 6053, DPO AE 25347",amanda.adams@ironmountain.com
Johnson & Johnson,JNJ,Danaher Corp,DHR,Direct Supplier,5.15,Bioprocessing,2025-08-14,3694968.31,"50317 Lauren Parkway, East Matthew, NJ 96503",maria.turner@danahercorp.com
Netflix Inc,NFLX,DHL Express,DHL.DE,Logistics Partner,9.63,International Shipping,2025-07-30,5084279.44,"00462 Ford Locks Suite 725, Barrettshire, VI 92232",diana.diaz@dhlexpress.com
FactSet Research,FDS,IBM Corp,IBM,Service Provider,5.75,IT Infrastructure,2024-05-02,5565123.51,"58379 Bryan Union, Maryborough, MO 95309",joseph.ross@ibmcorp.com
NVIDIA Corp,NVDA,ASML Holding,ASML,Direct Supplier,11.54,EUV Lithography Equipment,2022-08-31,7982727.58,"5760 William Pike, Marquezmouth, WA 16901",martin.davis@asmlholding.com
Costco Wholesale,COST,,,Logistics Partner,3.62,Shipping,2024-05-28,4163423.72,"3474 Jennifer Island, North Diane, NJ 87070",dawn.wise@upsinc.com
Ford Motor Co,F,UPS Inc,UPS,Logistics Partner,1.87,Supply Chain,2025-06-25,2694256.52,"138 Zamora Pines Suite 018, Lake Kristaland, DE 94985",donna.gonzalez@upsinc.com
Qualcomm Inc,QCOM,Lam Research,LRCX,Direct Supplier,7.19,Etch Equipment,2024-11-23,9812486.36,"40032 Harris Forge, West Katie, HI 93489",keith.miranda@lamresearch.com
Ford Motor Co,F,Accenture plc,ACN,Service Provider,15.81,IT Services,2024-09-06,2043025.95,"82382 Susan Brook Apt. 297, South Danaside, DC 82534",garrett.shannon@accentureplc.com
Merck & Co,MRK,Acme Widget Corp,ACME,Direct Supplier,6.1,Bioprocessing,2023-08-18,9456579.68,"79931 Ronald Valleys, Nguyenshire, ND 18501",stephen.jackson@danahercorp.com
PepsiCo Inc,PEP,Deloitte,DLT,Service Provider,17.9,Audit,2022-01-19,8006969.45,,
Eli Lilly,LLY,Lonza Group,LONN.SW,Contract Manufacturer,14.31,Biologics,2024-02-25,7541533.67,"4419 Tina Lake Suite 928, South Lindsey, WA 79759",paul.trujillo@lonzagroup.com
JPMorgan Chase,JPM,DHL Express,DHL.DE,Logistics Partner,4.24,International Shipping,2023-02-01,6615392.29,"7462 Michael Roads Suite 841, Adamsville, NE 08842",andrew.owens@dhlexpress.com
Oracle Corp,ORCL,Iron Mountain,IRM,Service Provider,15.37,Data Storage,2023-09-26,1918050.9,"1318 Daniel Walks, West Alecmouth, PW 11763",keith.novak@ironmountain.com
Walt Disney Co,DIS,,,Service Provider,16.86,HR Software,2025-07-04,8236065.36,,
Microsoft Corp,MSFT,CrowdStrike,CRWD,Service Provider,12.18,Endpoint Security,2023-09-08,8280429.56,"645 Rios Loaf Suite 949, Teresaland, MI 46845",tracy.franco@crowdstrike.com
Lockheed Martin,LMT,Northrop Grumman,NOC,Tier 2 Supplier,8.71,Autonomous Systems,2024-06-04,1582757.13,"8427 Holmes Vista Apt. 277, Port John, IA 43587",patricia.martinez@northropgrum.com
Johnson & Johnson,JNJ,Deloitte,DLT,Service Provider,,Consulting,2024-08-20,5138827.61,"9987 Alicia Wall, Johnburgh, ND 76958",emma.lewis@deloitte.com
Qualcomm Inc,QCOM,Tokyo Electron,8035.T,Direct Supplier,1.43,Coater/Developer,2022-11-02,6446971.11,"004 Hall Square, Butlermouth, WV 57778",julie.spencer@tokyoelectro.com
Chevron Corp,CVX,,,Service Provider,9.08,IT Service Management,2023-06-06,4797555.31,"447 Morgan Groves, Hopkinsmouth, OH 04613",tracy.bullock@servicenowin.com
Cisco Systems,CSCO,IBM Corp,IBM,Service Provider,1.56,Cloud,2022-10-26,8466322.15,"0712 Cook Keys, North Gabriel, MP 78611",george.charles@ibmcorp.com
Tesla Inc,TSLA,CATL,300750.SZ,Direct Supplier,33.8,Battery Systems,2023-06-28,430659.11,"403 Joyce Centers Apt. 343, Port Jonathan, MD 16227",daniel.jordan@catl.com
Alphabet Inc,GOOGL,Iron Mountain,IRM,Service Provider,19.43,Data Storage,2024-09-02,8498874.94,,
Home Depot,HD,ServiceNow Inc,NOW,Service Provider,14.05,IT Service Management,2023-11-08,1949775.2,,
Oracle Corp,ORCL,Akamai Technologies,AKAM,Service Provider,3.99,CDN,2025-05-17,7187161.95,"833 Williams Bridge, West Michele, KS 23507",christina.kim@akamaitechno.com
FactSet Research,FDS,Workday Inc,WDAY,Service Provider,-83.44,Finance,2023-10-31,344775.31,"315 Elizabeth Square, Greenemouth, PR 76314",michele.henderson@workdayinc.com
PepsiCo Inc,PEP,Workday Inc,WDAY,Service Provider,-35.71,Finance,2022-06-28,9671331.43,,
Starbucks Corp,SBUX,ServiceNow Inc,NOW,Service Provider,7.49,IT Service Management,2025-03-09,8369250.99,"71557 Daniel Burg Suite 208, North Angela, IN 04475",elizabeth.reyes@servicenowin.com
Nike Inc,NKE,SAP SE,SAP,Service Provider,5.02,ERP,2025-09-13,7014094.57,"63361 Chase Ridges, Josephton, WV 06452",ronald.snyder@sapse.com
Adobe Inc,ADBE,SAP SE,SAP,Service Provider,3.74,ERP,2022-12-25,2180380.95,"PSC 7687, Box 8494, APO AA 61722",joshua.jones@sapse.com
JPMorgan Chase,JPM,FactSet Research,FDS,Service Provider,13.73,Data Feeds,2025-05-17,5673895.95,"45320 Flores Vista Apt. 261, Vanessaport, VI 08189",kevin.johnson@factsetresea.com
Salesforce Inc,CRM,DHL Express,DHL.DE,Logistics Partner,3.54,International Shipping,2024-10-23,5128599.33,"144 Michael Falls, North Tyler, PA 20850",william.olsen@dhlexpress.com
Texas Instruments,TXN,,,Service Provider,6.39,Data Storage,2023-08-06,8518665.12,"3352 Victoria Pines Suite 837, Michaelside, MH 23992",sally.munoz@ironmountain.com
Caterpillar Inc,CAT,UPS Inc,UPS,Logistics Partner,17.23,Shipping,2023-01-13,7715725.81,"471 Alvarez Islands, Snowtown, ND 06585",stephanie.cummings@upsinc.com
Broadcom Inc,AVGO,ServiceNow Inc,NOW,Service Provider,5.61,IT Service Management,2023-04-05,605863.38,"826 Thompson Bypass Apt. 727, Port Aaron, SC 73111",austin.garza@servicenowin.com
Qualcomm Inc,QCOM,ASML Holding,ASML,Direct Supplier,4.67,DUV Systems,2022-11-14,9973551.96,"198 Lambert Parkways Suite 075, Kathyside, AS 00791",sonya.ramos@asmlholding.com
Merck & Co,MRK,Deloitte,DLT,Service Provider,14.47,Audit,2025-12-12,8415198.44,"935 Barber Terrace Apt. 470, Heatherland, GU 21332",john.kim@deloitte.com
Meta Platforms Inc,META,Deloitte,DLT,Service Provider,10.99,Consulting,2022-03-22,608020.51,,
Adobe Inc,ADBE,SAP SE,SAP,Service Provider,9.32,Business Software,2022-10-20,4448136.99,"38833 Cristian Island Apt. 801, Powellside, GU 01986",timothy.carlson@sapse.com
Merck & Co,MRK,UPS Inc,UPS,Logistics Partner,4.41,Shipping,2023-12-18,1145713.49,"2396 Estrada Pike Apt. 907, Patriciachester, ID 71735",amy.rivera@upsinc.com
Meta Platforms Inc,META,DHL Express,DHL.DE,Logistics Partner,9.48,International Shipping,2025-04-09,7738133.45,,
General Electric,GE,DHL Express,DHL.DE,Logistics Partner,15.96,International Shipping,2023-10-31,6244347.79,"75657 Lawrence Valleys Apt. 618, Lake Keith, FL 43597",james.woods@dhlexpress.com
AMD Inc,AMD,SK Hynix,000660.KS,Direct Supplier,14.49,NAND Flash,2024-06-05,1460867.55,"42647 Bruce Plains, Port Charlesmouth, FM 03034",robert.woodward@skhynix.com
Chevron Corp,CVX,NOV Inc,NOV,Direct Supplier,4.22,Tubulars,2022-08-14,2283998.45,"18429 Jeff Isle, Shaneport, GA 21199",travis.cline@novinc.com
